campus_number,languages_1,languages_2,languages_3,languages_4,languages_5,languages_6,languages_7,languages_8,languages_9,languages_10,languages_11,languages_12,languages_13,languages_14
144,2,2,2,2,2,2,2,2,2,2,2,2,2,2
79,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27,2,2,2,2,2,2,2,2,2,2,2,2,1,2
15,2,2,2,1,2,2,2,2,2,2,2,2,1,2
102,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2,2,2,2,2,2
106,2,2,2,2,2,2,2,2,2,2,2,2,2,2
147,2,2,2,2,2,2,2,2,2,2,2,2,1,2
244,2,2,2,2,2,2,2,2,2,2,2,2,2,2
292,2,2,2,2,2,2,2,2,2,2,2,2,2,2
263,2,2,2,2,2,2,2,2,2,2,2,2,1,2
276,2,2,2,2,2,2,2,2,2,2,2,2,2,2
350,2,2,2,2,2,2,2,2,2,2,2,2,2,2
479,2,2,2,2,2,2,2,2,2,2,2,2,2,2
222,2,2,2,2,2,2,2,2,2,2,2,2,2,2
60,2,2,2,1,2,2,2,2,2,2,2,2,2,2
14,2,2,2,2,2,2,2,2,2,2,2,2,2,2
162,2,2,2,2,2,2,2,2,2,2,2,2,2,2
470,2,2,2,2,2,2,2,2,2,2,2,2,2,2
69,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
380,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
24,2,2,2,2,2,2,2,2,2,2,2,2,1,2
46,2,2,2,2,2,2,2,2,2,2,2,2,2,2
45,2,2,2,2,2,2,2,2,2,2,2,2,2,2
186,2,2,2,2,2,2,2,2,2,2,2,2,2,2
201,2,2,2,2,2,2,2,2,2,2,2,2,2,2
50,2,2,2,2,2,2,2,2,2,2,2,2,2,2
212,2,2,2,2,2,2,2,2,2,2,2,2,2,2
260,2,2,2,2,2,2,2,2,2,2,2,2,2,2
152,2,2,2,2,2,2,2,2,2,2,2,2,2,2
251,2,2,2,2,2,2,2,2,2,2,2,2,1,2
175,2,2,2,2,2,2,2,2,2,2,2,2,1,2
149,2,2,2,2,2,2,2,2,2,2,2,2,2,2
128,2,2,2,2,2,2,2,2,2,2,2,2,1,2
157,2,2,2,2,2,2,2,2,2,2,2,2,1,2
476,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,2,2,2,1,2,2,2,2,2,2,2,2,1,2
394,2,2,2,2,2,2,2,2,2,2,2,2,2,2
324,2,2,2,1,2,2,2,2,2,2,2,2,1,2
478,2,1,2,2,2,2,2,2,2,2,2,2,2,2
254,2,2,2,2,2,2,2,2,2,2,2,2,2,2
466,2,2,2,2,2,2,2,2,2,2,2,2,2,2
34,2,2,2,2,2,2,2,2,2,2,2,2,2,2
169,2,2,2,2,2,2,2,2,2,2,2,2,1,2
214,2,2,2,2,2,2,2,2,2,2,2,2,2,2
389,2,2,2,2,2,2,2,2,2,2,2,2,2,2
354,2,2,2,2,2,2,2,2,2,2,2,2,2,2
308,2,2,2,2,2,2,2,2,2,2,2,2,1,2
98,2,2,2,2,2,2,2,2,2,2,2,2,1,2
155,2,2,2,2,2,2,2,2,2,2,2,2,2,2
274,2,2,2,2,2,2,2,2,2,2,2,2,2,2
209,2,2,2,2,2,2,2,2,2,2,2,2,1,2
99,2,2,2,2,2,2,2,2,2,2,2,2,1,2
58,2,2,2,2,2,2,2,2,2,2,2,2,2,2
197,2,2,2,2,2,2,2,2,2,2,2,2,1,2
323,2,2,2,2,2,2,2,2,2,2,2,2,2,2
199,2,2,2,2,2,2,2,2,2,2,2,2,2,2
174,2,2,2,2,2,2,2,2,2,2,2,2,1,2
237,2,2,2,2,2,2,2,2,2,2,2,2,1,2
62,2,2,2,2,2,2,2,2,2,2,2,2,2,2
355,2,2,2,2,2,2,2,2,2,2,2,2,2,2
